name,dataset,ClaSS,FLOSS,Window,ADWIN,DDM,HDDM,ChangeFinder,NEWMA
mHealth,mHealth_Subject9_Ankle_X-Gyro,2264.686280235975,227.6670089337134,3900.167341405987,13271.881567560882,30111.31562801296,27891.532028903137,2698.6624519540837,15002.59840078258
mHealth,mHealth_Subject9_Ankle_Y-Gyro,2250.6713557291096,178.99907452361828,3891.331779247289,12193.771429788378,25208.949419197663,27049.967717043823,2695.9961075447713,15951.153828295486
mHealth,mHealth_Subject9_Ankle_Z-Gyro,2319.3983094331466,180.29377588666,3917.8610855146126,14635.102263384126,29486.64028770802,22468.867727082456,2669.7980360034935,16477.686965197034
mHealth,mHealth_Subject9_Ankle_X-Mag,2837.6562284464417,171.99585635877753,3599.271219345586,12396.124632399371,27873.201840147343,26486.869901774837,2541.9765765819097,16646.718773471075
mHealth,mHealth_Subject9_Ankle_Y-Mag,2363.7363189317016,195.82632392822794,3454.024097936071,13455.48261761895,30306.826402244293,29064.543693263047,2698.9974411612434,16556.94250325316
mHealth,mHealth_Subject9_Ankle_Z-Mag,2502.075716304205,184.06659659555555,3742.029370693356,14076.335252299685,26521.42697227734,27910.566595713564,2691.657382117567,16285.68448797322
mHealth,mHealth_Subject10_Ankle_X-Acc,1861.9843480567715,221.94487347857583,3757.5577770515724,14091.340664120828,26716.043900272784,28571.18626819091,2673.0988189647987,16368.830714514757
mHealth,mHealth_Subject10_Ankle_Y-Acc,2245.498505333808,213.91402472157841,3579.0889417943895,14220.22995492073,25555.63983918683,26455.898982284205,2556.572417247188,16614.80191940662
mHealth,mHealth_Subject10_Ankle_Z-Acc,2118.985201696698,205.56034321804626,3717.66492241347,14203.383685291126,28193.412331793526,26559.765384797316,2690.153272460864,16482.629392799303
mHealth,mHealth_Subject10_Ankle_X-Gyro,2314.5078905551727,209.67746452707274,3717.9315984457307,14729.671828682853,31576.283577333295,24101.12600689625,2666.9537593440355,16535.6185764349
mHealth,mHealth_Subject10_Ankle_Y-Gyro,2193.3893627451935,179.57178764647372,3907.699873802985,14649.291016058125,24846.415375424982,27056.54649565923,2647.8729775484894,16531.399354249872
mHealth,mHealth_Subject10_Ankle_Z-Gyro,2148.594198221685,212.97559333837125,3773.2172136655654,14629.888571403753,26244.245195565974,28516.530954275357,2670.283054759429,16481.339249460645
mHealth,mHealth_Subject10_Ankle_X-Mag,2819.5535916041076,204.51355155720464,3613.2212366032504,13597.013419432951,28630.430348766058,26775.283131333203,2589.070877832589,14085.684780018317
mHealth,mHealth_Subject10_Ankle_Y-Mag,2689.0882402475654,215.56540938520217,3521.9697104332477,13852.283427011333,25682.268638511967,27862.317641999405,2661.6609427920653,16681.438495551116
mHealth,mHealth_Subject10_Ankle_Z-Mag,2311.018185634645,221.94519515003964,3711.4233402149084,13701.972937688355,25144.23041041295,22995.48827018504,2641.820433057807,16580.213982696336
WESAD,WESAD_Subject2_chest_X-ACC,1042.1093978366546,107.66297149913144,1207.957619930112,13332.673610806647,33070.054815895535,31435.722364437548,2686.4689044823313,17848.325607704322
WESAD,WESAD_Subject2_chest_Y-ACC,1068.9477394400244,107.55494157158017,1208.2514431346726,13377.79546813807,27148.5461028802,30492.051149713567,2693.8371149130103,17211.137346697134
WESAD,WESAD_Subject2_chest_Z-ACC,1032.8502676844519,108.38623112926669,1024.850152902316,13182.593778787848,24911.89735549172,29074.77668783453,2695.1042260742456,18800.179272529473
WESAD,WESAD_Subject2_chest_ECG,1029.2200725933608,108.61122932919987,1240.1040591496396,11676.8759748057,28286.76638026005,25145.335210375157,2581.2217967906186,18408.846081652908
